tagcompany,tagname,tagdate,tagorg,tagrank,tagsuper,tagtel,tagloc,tagrot,tagwc,tagtask,taghead,tagceo
포스메이트,강민수,내일,기계기술섹션,수석,국장,010-333-1238,,B조,연차,(R&D지원_강구조시험)시험지원총괄(PR206),기술연구원장,마하라수트라법인장
포스파워,강민아,모레,설비기획섹션,주무을,그룹장,010-3245-6275,,C조,교육,(Staff)안전직[연구1동 341호],경영전략실장,말레이시아법인장
철강융합신기술연구조합,강민준,어제,중앙수리섹션,외주직,대표법인장,010-2347-1238,,D조,반차,(경남TSC)울산/양산/밀양/동부산 비자동차 제품담당(울산시 신정동),홍보실장,MESDC법인장
포스코경영연구원,강민희,오늘,토건설비섹션,자문역,대표이사 회장,010-5672-1328,,A조,출장,(경남TSC)울산/양산/북부산/대구지역 자동차제품 담당 (울산 신정동),철강솔루션마케팅실장,멕시코법인장
포항공과대학교,강상진,내일,안전방재보건그룹,자문위원,반장,010-2378-0991,,B조,파견,(고로개수PJT팀 파견)고로개수업무,설비자재구매실장,쿠알라룸푸르법인장
포스코청암재단,강상효,모레,건강증진섹션,A1,법무위원,010-6723-1912,,C조,육아휴직,(광)1연주공장 1M/C 주조직,국내사업관리실장,MPPC법인장
포스코기술투자,강석윤,어제,방재섹션,E1,법인장,010-2345-6793,,D조,예비군훈련,(광)1연주공장 조업1파트장,스테인리스마케팅실장,PMPC법인장
RIST,강석조,오늘,안전방재기술섹션,E7,본부장,010-3457-2399,,A조,민방위,(광)50/60Kg급 재료설계및 진행관리(동관19층),노무외주실장,PWPC법인장
리스텍비즈,강성래,내일,안전섹션,P11,부공장장,010-3578-4520,,B조,안식월,(광)냉연/도금(동관19층),기술경영실장,러시아법인장
순천에코트랜스,강성문,모레,안전시설개선섹션,P12,부리더,010-2222-1116,,C조,휴무,(광)수주업무(동관19층),법무실장,동남아시아대표법인장
SNNC,강성윤,어제,압연설비그룹,P13,부문장,010-1234-1116,,D조,연차,(광양)연구장치_사양검토/검수/FAT,원료0실장,TCS법인장
포스코터미날,강수진,오늘,냉연섹션,Advisor,부법인장,010-3321-1239,,A조,교육,(광양)제강부 경쟁력 향상,원료3실장,TNPC법인장
포스코아이씨티,강순옥,내일,도금섹션,일반,부장,010-1234-1239,,B조,반차,(광양)후판부 열처리업무,원료4실장,베트남법인장
부산E&E,강승모,모레,열연섹션,계약직,부장대우,010-6271-4686,,C조,출장,(광양구매) 광양구매 및 재활용 총괄,원료5실장,VST법인장
포스코대우,강승태,어제,에너지부,일반직,비상임고문,010-333-1239,,D조,파견,(기계기술.투자),원료6실장,인도네시아대표법인장
엔투비,강역원,오늘,LNG터미널공장,총괄직,사무소장,010-3245-6276,,A조,육아휴직,(기기운전파트/기기운전설비반)슬러지처리실,원료7실장,VPS법인장
메가에셋,강영학,내일,동력섹션,Sr.Manager,사외이사,010-2347-1239,,B조,예비군훈련,(기술 AE108)  HPF200톤 성형 Test,원료8실장,광동순덕법인장
포항에스알디씨,강영훈,모레,산소공장,대리갑,상임이사,010-5672-1329,,C조,민방위,(기술)공사설계,원료9실장,광동포항법인장
피엠씨텍,강은구,어제,에너지기술개발섹션,부총괄직,센터장,010-2378-0992,,D조,안식월,(기술)후판관련업무,원료10실장,장가항법인장
PNR,강의환,오늘,에너지정비섹션,사원갑,실장,010-6723-1913,,A조,휴무,(기술개발섹션) 선재 계측기 관리 및 모니터링,원료11실장,중경법인장
포스코A&C,강인원,내일,전력계통섹션,주무갑,안전파트장,010-2345-6794,,B조,연차,(동관 10층) 지적재산 업무 총괄,원료12실장,청도법인장
포스코,강재영,모레,열연부,과장급,연구소장,010-3457-2400,,C조,교육,(박판)소재 품질 향상 및 제강성 부적합 개선,원료13실장,ASSAN법인장
포스코P&S,강정화,어제,1열연공장,기타비상무이사,연구원장,010-3578-4521,,D조,반차,(산소운전파트/산소운전반)11.12 PLANT 운전,원료14실장,일본코일센터통합법인장
포스코켐텍,강정훈,오늘,2열연공장,대리급,일반,010-2222-1117,,A조,출장,(상주) 연주 통합파트 총괄,원료15실장,SSVINA 법인장
포스코강판,강진모,내일,3열연공장,부장급,자문교수,010-1234-1117,,B조,파견,(설비반) PCI 설비관리,원료16실장,Thainox법인장
포스코건설,강진효,모레,4열연공장,사원급,자문역,010-3321-1240,,C조,육아휴직,(설비진단 파트) 설비진단 및 기술 총괄(안전짝꿍:이상우파트장),원료17실장,미주대표법인장
포스코E&E,강창원,어제,CEM공장,상무보대우,제철소부소장,010-1234-1240,,D조,예비군훈련,(성형시험) 3D CAD modeling [연구2동 524],원료18실장,홍콩금융법인장
포스코에너지,강철진,오늘,CEM정비섹션,연봉계약직,제철소장,010-6271-4687,,A조,민방위,(소둔파트/ 연속 소둔반) 입측 담당,원료19실장,차이나대표법인장
포스코ESM,강춘성,내일,공정제어모델섹션,임시직,주임,010-333-1240,,B조,안식월,(수질관리 파트)배열회수 수질관리반,원료20실장,차이나부법인장
포스코인재창조원,강충구,모레,열연기술개발섹션,임원급,주임급,010-3245-6277,,C조,휴무,(압연/수처리) 수처리 유실 Utility 설비 관리,원료21실장,CSPC법인장
포스코휴먼스,강태원,어제,열연정비1섹션,자문역,주임대우,010-2347-1240,,D조,연차,(압연파트 압연반) 압연주임,인니법인장,슬로베니아물류법인장
포스코ICT,강태훈,오늘,열연정비2섹션,차장급,추진단장,010-5672-1330,,A조,교육,(압연파트/가열반)가열로 관련,철강사업본부장,인도법인장
포스코엠텍,강택순,내일,조업개선섹션,파견직,추진반장,010-2378-0993,,B조,반차,(압연파트/압연반) STS 냉연직,회장,이태리법인장
포스코플랜텍,강필승,모레,예비군연대,이사,추진반장(기술위원),010-6723-1914,,C조,출장,(압연파트/압연반) 냉간압연직 수행,광양선강부소장,포스코재팬법인장
포스코미소금융재단,강현,어제,인사노무그룹,P1A,추진반장(연구위원),010-2345-6795,,D조,파견,(압연파트/압연반)PCM 출측운전(안전짝궁-고경완님),포항행정부소장,Maharashtra법인장
포스웰,강현석,오늘,노무섹션,P1B,팀장,010-3457-2401,,A조,육아휴직,(압연파트/압연반)압연D조 압연 안전짞꿍:윤한빛,자동차마케팅실장,말련법인장
포스코교육재단,강현우,내일,노정직무섹션,노조위원장,팀장(기술위원),010-3578-4522,,B조,예비군훈련,(양소)후판/선재(동관19층),인사실장,멕시코물류법인장
포스메이트,강현철,모레,외주섹션,부관리직,팀장(마케팅위원),010-2222-1118,,C조,민방위,(에너지진단파트/열설비진단반)열설비진단,법무실상무,포스코멕시코법인장
포스파워,강혜리,어제,인사섹션,비상근연봉계약직,팀장(연구위원),010-1234-1118,,D조,안식월,(연구) 극후물 절단기술 개발,STS부소장,쿠알라룸프법인장
철강융합신기술연구조합,강화수,오늘,제강부,비상임고문,파트장,010-3321-1241,,A조,휴무,(연구) 후판압연 공정설비 기술개발,광양행정부소장,멕시코가공센터법인장
포스코경영연구원,강희욱,내일,1연주공장,선임,파트장(통합),010-1234-1241,,B조,연차,(연구)제선/FINEX 원료처리 공정개발,인니생산본부장,마닐라법인장
포항공과대학교,강희진,모레,1제강공장,대표위원,파트장급,010-6271-4688,,C조,교육,(연주파트/설비점검반)  설비점검,가정간판마케팅실장,폴란드법인장
포스코청암재단,강희철,어제,2연주공장,상무,파트장대우,010-333-1241,,D조,반차,(연주파트/연주2반)OS2주조직,해외사업실장,동남아대표법인장
포스코기술투자,계성경,오늘,2제강공장,선임연구원,홍보위원,010-3245-6278,,A조,출장,(연주파트/연주반)연속주조,포항선강부소장,태국가공센터법인장
RIST,고관영,내일,노재섹션,수석연구원,회장보좌역,010-2347-1241,,B조,파견,(용강비정질PJT) 냉각담당업무,광양선강부소장,터키가공센터법인장
리스텍비즈,고광예,모레,슬라브정정공장,위원,Chief PCP,010-5672-1331,,C조,육아휴직,(용접설비파트) 철구조물제작및용접업무 . 협의회위원,Smart Factory추진팀장,포스코베트남법인장
순천에코트랜스,고두찬,어제,연주기술개발섹션,책임연구원,IP PJT 리더,010-2378-0994,,D조,예비군훈련,(운전부문 / 기중기2반) 용강기중기운전,광양설비부소장,인니대표법인장
SNNC,고민식,오늘,연주정비섹션,자문교수,Junior PCP,010-6723-1915,,A조,민방위,(인니)PT.KP오븐 선탄 화성 기계 컨설턴트,홍보상무,아싼법인장
포스코터미날,고민정,내일,예비처리공장,전문컨설턴트,PCE,010-2345-6796,,B조,안식월,(일본 MR) 일본 지역 (도요다/혼다) 고객서비스 활동 및 일본고객사 VOC  접수,포항안전설비부소장,미주법인장
포스코아이씨티,고상덕,모레,제강기술개발섹션,인턴사원,PCP,010-3457-2402,,C조,휴무,(자문교수) 도금기술지원,비서실장,이태리가공센터법인장
부산E&E,고상영,어제,제강정비섹션,대표이사,Senior PCE,010-3578-4523,,D조,연차,(재료시험분석) EBSD XRD 구조분석[연구1동 339],PR실장,쿠알라룸프가공센터법인장
포스코대우,고석인,오늘,조업개선섹션,사장,Senior PCP,010-2222-1119,,A조,교육,(재료시험분석) 재료시험분석파트 업무총괄 / KOLAS 평가사[연구1동 339],솔루션마케팅실장,마닐라가공센터법인장
엔투비,고설옥,내일,제선부,비상무이사,공장장,010-1234-1119,,B조,반차,(재료시험분석) 전자기물성분석 [연구1동 P339],자재구매실장,폴란드가공센터법인장
메가에셋,고수진,모레,1제선공장,사외이사,국장,010-3321-1242,,C조,출장,(정정3파트 정정2반) 4-2RCL 품질검사업무,국내사업실장,SouthAsia법인장
포항에스알디씨,고영택,어제,2제선공장,팀원,그룹장,010-1234-1242,,D조,파견,(정정진행실)정정파트 총괄,노무실장,TST법인장
피엠씨텍,고영학,오늘,3제선공장,협력사,대표법인장,010-6271-4689,,A조,육아휴직,(정정파트/정정반)CPL&RCL담당/안전짝꿍:최종찬,법무상무,ITPC법인장
PNR,고은영,내일,고로정비섹션,반원,대표이사 회장,010-333-1242,,B조,예비군훈련,(제강) STS 제강 연주,스텐레스부소장,쿠알라룸푸르가공센터법인장
포스코A&C,고재린,모레,기술개발섹션,촉탁직,반장,010-3245-6279,,C조,민방위,(제강기계파트) 2RH 기계정비,포항안전부소장,MYANMAR-POSCO(미얀마)법인장
포스코,고정욱,어제,소결공장,단장,법무위원,010-2347-1242,,D조,안식월,(조업2파트 조업2반) 출선업무,외주실장,POSCO ASSAN TST(터키)법인장
포스코P&S,고중선,오늘,원료공장,부단장,법인장,010-5672-1332,,A조,휴무,(조업2파트/조업2반)조업2주임,스테인리스부소장,POSCO Japan PC(일본)법인장
포스코켐텍,고지수,내일,원료기술개발섹션,시니어매니저,본부장,010-2378-0995,,B조,연차,(철도운영2파트/철도2반) 기관차운전(D조),포항부소장,POSCO SS VINA(베트남)법인장
포스코강판,고현준,모레,원료소결정비섹션,주니어매니저,부공장장,010-6723-1916,,C조,교육,(파견) 가전/냉연 이용기술 (동관 7층),포항제철소장,POSCO Thainox(태국)법인장
포스코건설,고형열,어제,조업개선섹션,G1,부리더,010-2345-6797,,D조,반차,(파견) 선재압연 공형 설계/해석 (기술연구원 기계설비연구그룹),PT.KRAKATAU POSCO 법인장,POSCO Vietnam Holdings(베트남)대표법인장
포스코E&E,고형준,오늘,광양제철소협의회근무,G2,부문장,010-3457-2403,,A조,출장,(파견) 인니 PT-KP제강,인니법인장,POSCO Vietnam Holdings(베트남)부법인장
포스코에너지,공경덕,내일,품질기술부,G3,부법인장,010-3578-4524,,B조,파견,(파견)FeMn공장 프로세스 개선 PJT (페로망간공장 Vision Center 1층),광양제철소장,POSCO-AAPC(알라바마)법인장
포스코ESM,공민수,모레,냉연도금품질관리섹션,G4,부장,010-2222-1120,,C조,육아휴직,(파견)FeMn공장 프로세스 개선 PJT (페로망간공장 Vision Center),경영지원본부장,POSCO-Africa(남아공)법인장
포스코인재창조원,공병선,어제,도유품질관리PJT팀,G6,부장대우,010-1234-1120,,D조,예비군훈련,(파견)PT.KP 소결전기SV,기술투자본부장,POSCO-America(미국)대표법인장
포스코휴먼스,곽귀종,오늘,소재품질관리섹션,Associate,비상임고문,010-3321-1243,,A조,민방위,(파견)[연구]고로 공정기술/수소환원,철강생산본부장,POSCO-Asia(홍콩)법인장
포스코ICT,곽기성,내일,열연품질관리섹션,비상임감사,사무소장,010-1234-1243,,B조,안식월,(파견)인니 PT-KP제강,철강부문장,POSCO-Australia(호주)법인장
포스코엠텍,곽동일,모레,재질시험섹션,비상임이사,사외이사,010-6271-4690,,C조,휴무,(파견)후판 재료설계 신모델 개발(동관 18층),철강사업본부장,POSCO-Canada(캐나다)법인장
포스코플랜텍,곽민수,어제,품질기술섹션,강사,상임이사,010-333-1243,,D조,연차,(포)선재 수주업무(동관 19층),가치경영센터장,POSCO-China(중국)대표법인장
포스코미소금융재단,곽상용,오늘,품질시스템섹션,교감,센터장,010-3245-6280,,A조,교육,(포)열연(동관19층),CEO,POSCO-China(중국)부법인장
포스웰,곽성문,내일,화학시험섹션,교사,실장,010-2347-1243,,B조,반차,(포)후판 열처리업무 총괄,선강담당 부소장,POSCO-CSPC(소주)법인장
포스코교육재단,곽용훈,모레,후판품질관리섹션,교장,안전파트장,010-5672-1333,,C조,출장,(포항)공로출하 및 제품재고관리,선재제어냉각PJT팀장,POSCO-ESDC(슬로베니아)법인장
포스메이트,곽원신,어제,행정섭외그룹,RA,연구소장,010-2378-0996,,D조,파견,(포항TSC)경북/경남/STS&선재제품 고객만족관리,CSP 조업담당 임원,POSCO-India(인도)대표법인장
포스파워,곽은혜,오늘,지역협력섹션,계약,연구원장,010-6723-1917,,A조,육아휴직,(프로젝트) 철강사업본부 프로젝트/자동차(동관17층),행정담당 부소장,POSCO-ITPC(이탈리아)법인장
철강융합신기술연구조합,곽진수,내일,행정보안섹션,계약직엔지니어,일반,010-2345-6798,,B조,예비군훈련,1 EGL OJT,POIST실용화추진반장,POSCO-Japan(일본)대표법인장
포스코경영연구원,곽차영,모레,홍보섹션,계약직연구원,자문교수,010-3457-2404,,C조,민방위,1.2.3 CPL 설비관리,주문외제품ValueUp-PJT팀장,POSCO-Maharashtra(인도)법인장
포항공과대학교,곽태훈,어제,후생섹션,명예연구원,자문역,010-3578-4525,,D조,안식월,1.2소결 조업지원2반,자동차소재마케팅실장,POSCO-Malaysia(말레이시아)법인장
포스코청암재단,구경룡,오늘,화성부,위촉직,제철소부소장,010-2222-1121,,A조,휴무,1.2소결기계파트/정비총괄,HR혁신실장,POSCO-MESDC(멕시코)법인장
포스코기술투자,구경회,내일,1코크스공장,자문,제철소장,010-1234-1121,,B조,연차,1.2소결전기정비,정도경영실장,POSCO-Mexico(멕시코)법인장
RIST,구교윤,모레,2코크스공장,초빙,주임,010-3321-1244,,C조,교육,1.2정정 야드 및 물류관리,법무실 법무위원,POSCO-MKPC(쿠알라룸푸르)법인장
리스텍비즈,구권회,어제,3코크스공장,겸직 기술원,주임급,010-1234-1244,,D조,반차,1.3전강 자구설비(전기),STS담당 부소장,POSCO-MPPC(멕시코)법인장
순천에코트랜스,구금용,오늘,기술개발섹션,겸직기술원,주임대우,010-6271-4691,,A조,출장,1.3제강/강편/선재관제지시(A조),광양제철소 행정담당 부소장,POSCO-PMPC(마닐라)법인장
SNNC,구두완,내일,조업개선섹션,겸직연구원,추진단장,010-333-1244,,B조,파견,1.3후판 전기,HiFAME연구PJT팀장,POSCO-PWPC(폴란드)법인장
포스코터미날,구명희,모레,코크스노체관리섹션,겸직행정원,추진반장,010-3245-6281,,C조,육아휴직,1.3후판전단기계파트장,정보기획실장,POSCO-RU(러시아)법인장
포스코아이씨티,구민경,어제,화성정비섹션,관리이사,추진반장(기술위원),010-2347-1244,,D조,예비군훈련,10MN UTM 강구조물 인장/휨/압축시험,PT.KRAKATAU POSCO 생산본부장,POSCO-SouthAsia(태국)대표법인장
부산E&E,구세근,오늘,환경자원그룹,이사,추진반장(연구위원),010-5672-1334,,A조,민방위,1코크스업무 총괄 및 비젼제시,글로벌마케팅조정실장,POSCO-TCS(태국)법인장
포스코대우,구승모,내일,대기보전섹션,L1,팀장,010-2378-0997,,B조,안식월,1후판 검판 치수검사,전기전자마케팅실장,POSCO-TNPC(터키)법인장
